Group,Variable,RelDay,Mean,Std,N,SEM
True onset,D26_z,-8,1.04289170640003,0.780844725002494,47,0.113897909173665
True onset,D26_z,-7,1.06007292879672,0.77076380192948,47,0.112427455415328
True onset,D26_z,-6,1.06913703033317,0.74842550946737,47,0.109169080575265
True onset,D26_z,-5,1.07174569827116,0.733101137934037,47,0.106933791251845
True onset,D26_z,-4,1.07667464802886,0.706966292544773,47,0.103121632251341
True onset,D26_z,-3,1.08997962817412,0.691920992782848,47,0.100927049729485
True onset,D26_z,-2,1.10148415814873,0.691769931697581,47,0.100905015205567
True onset,D26_z,-1,1.12187692177009,0.686625502757269,47,0.100154623121927
True onset,D26_z,0,1.15673789143652,0.675947432768442,47,0.0985970665337925
True onset,D26_z,1,1.19335408019207,0.640025123041777,46,0.0943665561295584
True onset,D26_z,2,1.24540043237628,0.616955393814724,47,0.089992193273365
True onset,D26_z,3,1.25077181233905,0.616016928392741,47,0.0898553040225663
True onset,D26_z,4,1.24902309128771,0.609417395738151,47,0.0888926632480145
True onset,D26_z,5,1.23439912853158,0.626165003977374,47,0.0913355529814388
True onset,D26_z,6,1.25204444040038,0.618355392407376,47,0.0901964040561792
True onset,D26_z,7,1.2631512416532,0.590048275739626,47,0.0860673867241079
True onset,D26_z,8,1.27163985008014,0.566161715991755,47,0.0825831738895707
True onset,D26_z,9,1.28320912528641,0.561734124732756,47,0.0819373433282207
True onset,D26_z,10,1.28918873553138,0.551333639049854,47,0.0804202765725103
True onset,D26_z,11,1.27632448606806,0.545891383548733,47,0.0796264420201098
True onset,D26_z,12,1.25947841150291,0.556318149087824,47,0.0811473420868199
True onset,D26_z,13,1.26264078792327,0.578223992027494,47,0.0843426376809691
True onset,D26_z,14,1.26765415569846,0.594520374779169,47,0.0867197094124886
True onset,D26_z,15,1.26149861452201,0.599396201528837,46,0.0883761484652266
True onset,D26_z,16,1.28009082047036,0.604772460853726,47,0.0882151298605896
True onset,D26_z,17,1.29794461032002,0.594120012978885,47,0.086661310641894
True onset,D26_z,18,1.30725130441447,0.587992723294446,46,0.0866947973273783
True onset,D26_z,19,1.27496602001249,0.592847632737059,46,0.087410614672552
True onset,D26_z,20,1.24195697522446,0.619592765397946,46,0.0913539693496955
True onset,D26_z,21,1.22311300202727,0.636659940507959,46,0.0938703870339539
True onset,D26_z,22,1.23494647707068,0.637628111505863,46,0.0940131360597773
True onset,D26_z,23,1.2520285192451,0.643960171251738,46,0.0949467473351988
True onset,D26_z,24,1.26456490155704,0.648387940905589,46,0.0955995863543658
True onset,D26_z,25,1.29135746599013,0.630776208590389,46,0.0930028780905364
True onset,D26_z,26,1.30737169551545,0.631185494591204,46,0.0930632240191234
True onset,D26_z,27,1.29919944268892,0.645735243623968,46,0.0952084674780768
True onset,D26_z,28,1.2962704871656,0.649379306991119,46,0.0957457553092821
True onset,D26_z,29,1.28845436120034,0.660790816153777,46,0.0974282905429038
True onset,D26_z,30,1.27198667168869,0.665453975872114,46,0.0981158359336382
Failed P90 spell,SLA_z,-30,1.32672228747241,0.788748387508538,13,0.21875944266166
Failed P90 spell,SLA_z,-29,1.34994196400291,0.761010438406913,13,0.211066319756881
Failed P90 spell,SLA_z,-28,1.37498781091503,0.738488468796869,13,0.204819849275846
Failed P90 spell,SLA_z,-27,1.40197106488071,0.721296255095164,13,0.200051587118905
Failed P90 spell,SLA_z,-26,1.43013829764729,0.708818788558035,13,0.196590960550636
Failed P90 spell,SLA_z,-25,1.4583947006676,0.699250478962574,13,0.193937188945563
Failed P90 spell,SLA_z,-24,1.48408392287359,0.692629061979032,13,0.192100738295533
Failed P90 spell,SLA_z,-23,1.50520963112144,0.688931758947993,13,0.191075290937122
Failed P90 spell,SLA_z,-22,1.5204807402827,0.687841146932536,13,0.190772809587632
